0012d9	Cisco
0012da	Cisco
0012ee	Sony
0012f0	Intel
0012fb	Samsung
001302	Intel
001310	Cisco
001311	CommScope
001315	Sony
001319	Cisco
00131a	Cisco
001320	Intel
001346	D-Link
001349	Zyxel
00135f	Cisco
001360	Cisco
001370	Nokia
001371	CommScope
001377	Samsung
00137f	Cisco
001380	Cisco
001392	Ruckus
0013a9	Sony
0013c3	Cisco
0013c4	Cisco
0013ce	Intel
0013d4	ASUS
0013e8	Intel
0013fd	Nokia
001404	CommScope
00141b	Cisco
00141c	Cisco
001451	Apple
001469	Cisco
00146a	Cisco
00146c	Netgear
001478	TP-Link
00147f	Technicolor
001495	Pace
00149a	CommScope
0014a7	Nokia
0014a8	Cisco
0014a9	Cisco
0014bf	Cisco
0014e8	CommScope
0014f1	Cisco
0014f2	Cisco
0014f6	Juniper
001500	Intel
001505	Actiontec
00150c	AVM (FRITZ!Box)
001517	Intel
00152a	Nokia
00152b	Cisco
00152c	Cisco
00152f	CommScope
001549	Cisco
001552	Cisco
001556	Sagemcom
00155d	Microsoft
001562	Cisco
001563	Cisco
00156d	Ubiquiti
001596	CommScope
001599	Samsung
00159a	CommScope
0015a0	Nokia
0015a2	CommScope
0015a3	CommScope
0015a4	CommScope
0015a8	CommScope
0015b9	Samsung
0015c1	Sony
0015c6	Cisco
0015c7	Cisco
0015ce	CommScope
0015cf	CommScope
0015d0	CommScope
0015d1	CommScope
0015de	Nokia
0015e0	Ericsson
0015e9	D-Link
0015eb	ZTE
0015f2	ASUS
0015f9	Cisco
0015fa	Cisco
001602	Samsung
001620	Sony
001626	CommScope
001632	Samsung
001646	Cisco
001647	Cisco
00164e	Nokia
00164f	Cisco
00166b	Samsung
00166c	Samsung
00166f	Intel
001675	CommScope
001676	Intel
00169c	Cisco
00169d	Cisco
0016b5	CommScope
0016b6	Cisco
0016b8	Sony
0016bc	Nokia
0016c7	Cisco
0016c8	Cisco
0016cb	Apple
0016db	Samsung
0016ea	Intel
0016eb	Intel
001700	CommScope
00170e	Cisco
00170f	Cisco
001731	ASUS
00173b	Cisco
00173f	Belkin
00174b	Nokia
001759	Cisco
00175a	Cisco
001784	CommScope
001794	Cisco
001795	Cisco
00179a	D-Link
0017b0	Nokia
0017c9	Samsung
0017cb	Juniper
0017d5	Samsung
0017df	Cisco
0017e0	Cisco
0017e2	CommScope
0017ee	CommScope
0017f2	Apple
0017f3	Arris
0017fa	Microsoft
001801	Actiontec
00180a	Cisco Meraki
00180f	Nokia
001813	Sony
001818	Cisco
001819	Cisco
001839	Cisco
00183f	Pace
001842	Nokia
00184d	Netgear
001868	Cisco
001873	Cisco
001874	Cisco
001882	Huawei
00188d	Nokia
00189b	Technicolor
0018a4	CommScope
0018af	Samsung
0018b9	Cisco
0018ba	Cisco
0018c0	CommScope
0018c1	Cisco
0018c5	Nokia
0018de	Intel
0018f3	ASUS
0018f6	Technicolor
