45271	IN	VIL-AS-AP Vodafone Idea Ltd
137687	CN	CHINATELECOM-HENAN-LUOYANG-IDC Luoyang, Henan Province, P.R.China.
139587	CN	CHINANET-HENAN-ZHENGZHOU-SHUJUGANG-IDC China Telecom Henan Zhengzhou Shujugang IDC network
38099	KR	KAKAO-AS-KR Kakao Corp
9286	KR	KINXIDC-AS-KR KINX
9957	KR	KINX-AS KINX
17589	KR	GABIA-AS-KR GABIA Inc.
23724	CN	CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation
3786	KR	LGDACOM LG DACOM Corporation
4791	KR	JOONGANGLIBO-AS-KR JoongAng Ilbo
18305	KR	POSNET POSCO DX
9579	KR	SHINYOUNG-AS Shinyoung Securities CO ., LTD.
9526	KR	KOSCOM-AS-KR KOSCOM
55633	KR	DMC-AS-KR pundang jesaeng general hospital
38707	KR	TOSSPAYMENTS-AS-KR Tosspayments
45974	KR	NHN-AS-KR NHNCLOUD
9630	KR	WEBTRADE-AS SK Securities Limited
9684	KR	HANWHA-AS HANWHA Corp. Information Service div.
9638	KR	NH-AS National Agricultural Cooperative federation
9569	KR	HCNSEOCHOCATV-AS-KR SEOCHO CABLE SYSTEMS CO., LTD.
9762	KR	HCN-AS HYUNDAI COMMUNICATIONS NETWORK
23584	KR	HYROADPUSAN-AS-KR PUSAN CABLE TV SYSTEM CO., LTD.
7562	KR	HCNSEOCHO-AS-KR HCN Dongjak
9319	KR	HCNCHUNGJU-AS-KR HCN CHUNGBUK CABLE TV SYSTEMS
38661	KR	HCLC-AS-KR abcle
9277	KR	SKB-T-AS-KR SK Broadband Co Ltd
17846	KR	SKB-H-AS-KR SK Broadband Co Ltd
46004	KR	SKBMIL SK Broadband Co Ltd
10196	KR	HNCBWORLD-AS-KR KOOKMIN BANK
9318	KR	SKB-AS SK Broadband Co Ltd
55586	KR	CATHOLIC-AS-KR THE CATHOLIC UNIVERSITY OF KOREA SONGSIM
45370	KR	BROADBANDIDC-AS-KR BROADBANDIDC
23601	KR	TAEKWANG-AS-KR tsis
55615	KR	DUZONBIZON-AS-KR DOUZONEBIZON
9647	KR	SEOULMETRO-AS Seoul Metropolitan Government
9851	KR	PRO-AS-KR KOREA UNIVERSITY OF MEDIA ARTS
38688	KR	WISEN-AS-KR GSNeotek
131852	KR	EUGENEFUTURES-AS-KR EUGENE INVESTMENT FUTURES Co.,Ltd.
9978	KR	UOS-AS The University of Seoul
9967	KR	KOOKMINCARD2-AS-KR kbcard
17873	KR	BESTEZ-AS-KR MIRAE ASSET SECURITIES CO., LTD.
10069	KR	SMLINE-AS-KR Seoul Metro
23579	KR	SENNEIS-AS-KR Seoul Metropolitan Office Of Education
10167	KR	HANVIT-AS HANVIT BANK
38122	KR	SGIC-AS-KR Seoul Guarantee Insurance Company
45998	KR	NMC-AS-KR National Medical Center
17834	KR	WOORICARD-AS-KR WOORICARD
38123	KR	AMCSEOUL-AS-KR asan medical center
4665	KR	YONSEI-AS-KR Yonsei University
18314	KR	KEBHANACARDNET-AS-KR Hana Card
17574	KR	SMGCC-AS-KR Seoul Metropolitan Government Computer Center
38396	KR	GOEPJ-AS-KR Paju office of Education Gyeonggi Province
38390	KR	GOEGY-AS-KR Goyang Office of Education
9692	KR	HWS-AS Hanwha Investment Securities Co., Ltd.
10185	KR	HNB-AS Hana Bank Co.
38392	KR	GOEYP-AS-KR KYONGGI YANGPYEONG OFFICE OF EDUCATION
38394	KR	GOESN-AS-KR Gyeonggido Seongnam Office of Education
38697	KR	MOK9882-AS-KR Hankyong National Univercity
9773	KR	HANCOMWITH-AS-KR HancomWITH
18317	KR	SHINHANSYS2-AS-KR SHINHAN DS
38402	KR	GOESW-AS-KR Gyeonggi Provincial Suwon Office of Education
38400	KR	GOEPT-AS-KR Gyeonggi-do Pyongtaek Office Education
38411	KR	GOEYI-AS-KR Yongin office of education
38401	KR	GOEAN-AS-KR Gyeonggi Provincial Anseong Office of Education
38399	KR	GOEYJ-AS-KR Gyeonggi-do Yeoju Office of Education
45409	KR	KBCAPITAL-AS-KR KBCAPITAL
38415	KR	GOEGN-AS-KR Guri Namyangju Office Of Education
38408	KR	GOEAY-AS-KR GYEONGGI PROVINCIAL ANYANG OFFICE OF EDUCATION
38403	KR	GOEGU-AS-KR GunpoUiwang Office of Education
131802	KR	NHLIFE-AS-KR NongHyup Life Insurance
9766	KR	SHINHANLIFE1 SHINHAN LIFE INSURANCE CO.,LTD.
38407	KR	GOEAS-AS-KR Gyeonggi-Do Ansan Office of Education
38414	KR	GOESH-AS-KR Gyeonggi siheung office of education
9523	KR	MOKWON-AS-KR Mokwon University
63199	US	CDSC-AS1
55625	KR	CWUNET-AS-KR Chungwoon University
152282	KR	NFH-AS-KR National Fire Hospital
10062	KR	BHA-AS-KR Branksome Hall Asia
38112	KR	HUGC-AS-KR Korea Housing Urban Guarantee Corporation
23594	KR	YKKNET-AS-KR YKK KOREA CO., LTD.
38389	KR	FWORKER-AS-KR FAMOUS WORKER
23576	KR	NHN-AS-KR NAVER Cloud Corp.
9770	KR	SPEEDONSTV-AS-KR LG HelloVision Corp.
9704	KR	DONGWON-AS Korea Investment Trust Management Securities Co.,LTD
9860	KR	NHIS-AS-KR National Health Insurance Service
3215	FR	France Telecom - Orange
20940	NL	AKAMAI-ASN1
34164	NL	AKAMAI-LON
16625	US	AKAMAI-AS
12874	IT	FASTWEB
6762	IT	SEABONE-NET TELECOM ITALIA SPARKLE S.p.A.
12389	RU	ROSTELECOM-AS PJSC Rostelecom. Technical Team
12222	US	AKAMAI
21342	NL	AKAMAI-ASN2
8966	AE	ETISALAT-AS P.O. Box 1150, Dubai, U
8697	JO	JTC-AS8697 Jordan Telecom Group  JTG
32787	US	PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK
8708	RO	RCS-RDS 73-75 Dr. Staicovici
9121	TR	TTNET
9924	TW	TFN-TW Taiwan Fixed Network, Telco and Network Service Provider.
33905	NL	AKAMAI-AMS
7303	AR	Telecom Argentina S.A.
52374	AR	CABASE Camara Arg de Base de Datos y Serv en Linea
9498	IN	BBIL-AP BHARTI Airtel Ltd.
3292	DK	TDC TDC AS
61580	BR	Nucleo de Inf. e Coord. do Ponto BR - NIC.
37457	ZA	Telkom-Internet
852	CA	TELUS Communications
55836	IN	RELIANCEJIO-IN Reliance Jio Infocomm Limited
12400	IL	PARTNER-AS
200612	VG	GULFBRIDGEINTERNATIONAL
47583	CY	AS-HOSTINGER
215439	GB	PLAY2GO-NET
203154	GB	MITELIS-DOWNSTREAM
207957	GB	SERVHOST-AS
199180	AM	LAGOM-NET
206134	GB	NEKOBYTE-AS
216127	GB	AS-NUXTCLOUD
215590	GB	DPKGSOFT-AS
213520	GE	SENKO-AS Senko Digital Ltd
6939	US	HURRICANE
42831	GB	UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location
15083	US	INFOLINK-MIA-
210546	GB	AS-WAF
202226	IL	GREATFLOWER
199529	LV	LAGOM-AS
213877	GB	U1HOST-AS
215103	RU	PT-MEDIA-STREAM-INDONESIA
201988	GB	VPSPAY-ASN
198550	GB	NODEHOST-AS
198924	LV	SUGAILO-AS
210980	GB	MANTA-TECH
200566	RO	ANARCHY-LAB
16276	FR	OVH
50053	KG	ANTON-LEVIN-AS
216475	US	NKTELECOM
60647	TR	MERT-TURKOGLU-DATAHOST-INTERNET-VE-BILISIM-TEKNOLOJILERI
210734	EE	IPHOSTER
199783	US	PTTECH-AS
214560	FR	HYDRASHIELD
201949	GB	SEEDTECHNOLOGIES
213468	FI	TIETOKETTU
215287	BH	SECUREDIGITALAPP
9304	HK	HUTCHISON-AS-AP HGC Global Communications Limited
207612	US	XTT
205104	FR	CNINFRA
51847	HK	NEAROUTE
212238	GB	CDNEXT
174	US	COGENT-174
9457	KR	DREAMX-AS DREAMLINE CO.
202051	GB	NETGRID-HOST-LT
23470	US	RELIABLESITE
30644	US	PATH-NETWORK-BYOIP
213791	IT	XENIAHOSTING
204248	ES	MPT2
216416	AT	EVOLUS-IX
402415	MY	VPECEDGE - Vpecedge
61272	LT	IST-AS
209557	GB	GEELINX-AS
4593	US	RELIANCE
214432	GB	ZLIDC
393942	US	AS393942 - WiredISP Inc.
200027	GB	DCC_WASTA_ASN
214668	NL	AXUSHOST
22427	US	GNET-AS
42708	SE	GLESYS glesys.com
154383	BD	ZWS-AS-AP ZORNTECH WEB SOLUTIONS
201907	UA	TOV-BITIORA
60464	GB	SUPERNET-UK
210718	RO	FIVE-CYBER-HOST-SECURITY-AS FIVE CYBER HOST SECURITY S.R.L.
31715	US	ABTME-AS
21840	US	NET3
208328	IT	L2N Luigi Labate
137517	PK	FLAMEHOSTING-AS-AP FLAMEHOSTING INC
58369	ID	FIBERNET-AS-ID PT. Fiber Networks Indonesia
213734	GB	ZERODESK-LTD
20326	US	TERASWITCH
210457	GB	KYONIX
216039	GB	EDGESEC-AS
215730	GB	H2NEXUS-AS
207513	UA	HOSTOFF
199742	PL	KAVORE-AS kavo.re
212743	GB	ETERNITY-AS
200051	ID	ASRIZKI
207461	GB	HOST-INDUSTRY
200239	TR	BOGAHOST
206411	GB	FASTWARP-LLP
268624	BR	Gamers Club Ltda
26548	US	PUREVOLTAGE-INC
200283	TR	SENKRONET
57043	NL	HOSTKEY-AS
215468	GB	LOCKBOX
25198	RO	ZETSERVERS ZetServers.com - Unmetered Cloud and Dedicated Servers Provider
213821	NL	KRIEK-AS
61317	US	ASDETUK www.heficed.com
151407	HK	HNSL-AS-AP Hytron Network Services Limited
216455	NL	STING
209317	TR	SUNUCUMBURADA-ASN
210576	KR	AS-YAGUMYAGUM
198586	CZ	DGTLCNTR
133150	PH	GTISI-AS-AP GGS Technical Information Services Inc.
215120	AT	EVOLUS-IX
154408	IN	URLSTART-AS-AP URLSTART
210554	BR	METEORCLOUD
44092	IT	HALSERVICE
206766	US	PROXYWING
150249	ID	IDNIC-ATHARVA-AS-ID PT Atharva Telematika Persada
137235	US	KMS-AS-AP MOBILE SALES & DISTRIBUTION PVT. LIMITED
201131	GB	NEWLINE-AS
400506	US	BAIAS
214937	HK	ELEVENINTERNET
211826	JO	ISTQSERVERS-AS
147003	SG	AITPL-AS-AP ALLIANCE INTELLIGENT TECHNOLOGIES PTE. LTD.
208450	KZ	MEGAHOST_
402279	US	WAWO-GEOSCRY-08 - Geoscry Network LLC
150654	IN	KENNIESIT-AS-IN Kennies Star India Private Limited
400909	US	TRAVCHIS
2914	US	NTT-DATA-2914
